[[0, 0], [0, 0, 0]]
[array([ 53., 213.]), [53.27282797216582, 11.177078380378402, 56]]
[array([ 54., 213.]), [53.27282774514201, 11.177065447381215, 56]]
[array([ 54., 214.]), [53.27281996352242, 11.177065913400257, 56]]
[array([ 53., 213.]), [53.27282797216582, 11.177078380378402, 56]]
[[0, 0], [0, 0, 0]]
[array([ 54., 279.]), [53.272314406334786, 11.177096189780737, 54]]
[array([ 55., 278.]), [53.27232194140412, 11.177082797567675, 54]]
[array([ 56., 278.]), [53.27232170235836, 11.17706987030429, 54]]
[array([ 56., 279.]), [53.27231392788586, 11.177070336087668, 54]]
[array([ 55., 279.]), [53.27231416711606, 11.177083263243825, 54]]
[array([ 54., 279.]), [53.272314406334786, 11.177096189780737, 54]]
[[0, 0], [0, 0, 0]]
[array([ 57., 240.]), [53.272616985921545, 11.177039233445441, 56]]
[array([ 58., 240.]), [53.27261675386622, 11.177026300866748, 56]]
[array([ 58., 241.]), [53.27260897463136, 11.177026767127934, 56]]
[array([ 57., 241.]), [53.27260920687135, 11.177039699599316, 56]]
[array([ 57., 240.]), [53.272616985921545, 11.177039233445441, 56]]
[[0, 0], [0, 0, 0]]
[array([ 67., 354.]), [53.27172838728226, 11.176963098975447, 54]]
[array([ 67., 355.]), [53.27172061955989, 11.176963565411771, 54]]
[array([ 68., 355.]), [53.27172036618309, 11.176950638974208, 54]]
[array([ 69., 354.]), [53.271727880884775, 11.176937245266808, 54]]
[array([ 70., 353.]), [53.27173539605803, 11.176923850718888, 54]]
[array([ 72., 351.]), [53.271750427819505, 11.176897059101167, 54]]
[array([ 71., 351.]), [53.271750680508184, 11.176909988444331, 54]]
[array([ 70., 351.]), [53.27175093318476, 11.17692291716824, 54]]
[array([ 69., 352.]), [53.271743417412324, 11.1769363119445, 54]]
[array([ 67., 354.]), [53.27172838728226, 11.176963098975447, 54]]
[[0, 0], [0, 0, 0]]
[array([ 78., 355.]), [53.27171783174751, 11.176821340541743, 54]]
[array([ 79., 357.]), [53.27170203871881, 11.17680934271795, 54]]
[array([ 78., 356.]), [53.27171006211479, 11.176821808150958, 54]]
[array([ 78., 355.]), [53.27171783174751, 11.176821340541743, 54]]
[[0, 0], [0, 0, 0]]
[array([ 80., 352.]), [53.27174063541113, 11.17679406990905, 54]]
[array([ 81., 351.]), [53.271748153076615, 11.17678066713892, 54]]
[array([ 82., 351.]), [53.271747900266845, 11.176767731600764, 54]]
[array([ 82., 352.]), [53.2717401294352, 11.176768199667135, 54]]
[array([ 81., 352.]), [53.27174038242923, 11.176781135097938, 54]]
[array([ 80., 352.]), [53.27174063541113, 11.17679406990905, 54]]
[[0, 0], [0, 0, 0]]
[array([ 84., 365.]), [53.27163860831977, 11.176748413967214, 55]]
[array([ 92., 368.]), [53.27161325174751, 11.176646316564668, 57]]
[array([ 94., 372.]), [53.27158165595964, 11.17662231178724, 57]]
[array([ 93., 373.]), [53.271574142352684, 11.176635721610177, 57]]
[array([ 92., 374.]), [53.27156662921745, 11.176649130591272, 57]]
[array([ 91., 374.]), [53.271566886387, 11.17666206985798, 57]]
[array([ 90., 374.]), [53.27156714354423, 11.176675008504764, 55]]
[array([ 86., 373.]), [53.27157594107761, 11.176726288550908, 55]]
[array([ 85., 372.]), [53.27158396694803, 11.17673875596382, 55]]
[array([ 84., 368.]), [53.271615299916846, 11.176749818497319, 55]]
[array([ 84., 367.]), [53.271623069269, 11.176749350327574, 55]]
[array([ 84., 366.]), [53.27163083873664, 11.176748882150877, 55]]
[array([ 84., 365.]), [53.27163860831977, 11.176748413967214, 55]]
[[0, 0], [0, 0, 0]]
[array([ 86., 360.]), [53.27167694894661, 11.176720199462434, 54]]
[array([ 87., 360.]), [53.27167669441773, 11.176707261791655, 54]]
[array([ 86., 361.]), [53.27166917841753, 11.176720667895632, 54]]
[array([ 86., 360.]), [53.27167694894661, 11.176720199462434, 54]]
[[0, 0], [0, 0, 0]]
[array([ 99., 373.]), [53.27157260010824, 11.176558068623667, 57]]
[array([100., 374.]), [53.27156457141737, 11.176545594135145, 57]]
[array([101., 374.]), [53.271564314136896, 11.176532649287152, 57]]
[array([101., 373.]), [53.27157208592822, 11.176532179333012, 57]]
[array([100., 373.]), [53.27157234302439, 11.176545124288506, 57]]
[array([ 99., 373.]), [53.27157260010824, 11.176558068623667, 57]]
[[0, 0], [0, 0, 0]]
[array([103., 371.]), [53.27158711636558, 11.176505347201559, 57]]
[array([104., 372.]), [53.27157908702566, 11.17649287046042, 57]]
[array([103., 372.]), [53.271579343974466, 11.176505817384706, 57]]
[array([103., 371.]), [53.27158711636558, 11.176505347201559, 57]]
[[0, 0], [0, 0, 0]]
